name,Latitude,Longitude,Number,Street,City,State,County,Zip,url,count,total_homeless,adjusted_homeless
California Veterans Assistance  Bakersfield,35.412712,-119.036792,731,Decatur St,Bakersfield,CA,Bakersfield/Kern County CoC,93308,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14589,5,1580,316.0
New Hope Village Inc,34.896359,-117.027931,100,W Fredricks St,Barstow,CA,San Bernardino City & County CoC,92311,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7800,14,3125,223.21428571428572
Love,38.02618,-121.934429,2279,Willow Pass Rd,Bay Point,CA,Richmond/Contra Costa County CoC,94565,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7717,16,2277,142.3125
Bell Shelter,33.988868,-118.163568,5650,Rickenbacker Rd,Bell,CA,Los Angeles City & County CoC,90201,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13787,63,63706,1011.2063492063492
At The Fountain Transitional Living INC,33.88177,-118.129747,9556,Flower St,Bellflower,CA,Los Angeles City & County CoC,90706,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13439,63,63706,1011.2063492063492
"Berkeley Food and Housing, North County Women's Shelter",37.863869,-122.266048,2140,Dwight Way,Berkeley,CA,"Oakland, Berkeley/Alameda County CoC",94704,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15341,22,8137,369.8636363636364
Women's Daytime Drop,37.866348,-122.284348,2218,Acton St,Berkeley,CA,"Oakland, Berkeley/Alameda County CoC",94702,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15724,22,8137,369.8636363636364
Berkeley Food and Housing Project,37.850981,-122.269974,1901,Fairview St,Berkeley,CA,"Oakland, Berkeley/Alameda County CoC",94703,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7174,22,8137,369.8636363636364
Berkeley Food and Housing Men's Housing Program,37.863869,-122.266048,2140,Dwight Way,Berkeley,CA,"Oakland, Berkeley/Alameda County CoC",94704,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7153,22,8137,369.8636363636364
Harrison House,37.880791,-122.304794,711,Harrison St,Berkeley,CA,"Oakland, Berkeley/Alameda County CoC",94710,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15759,22,8137,369.8636363636364
Shepherd's Gate,37.940309,-121.684875,605,Sycamore Ave,Brentwood,CA,Richmond/Contra Costa County CoC,94513,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8039,16,2277,142.3125
First Southern Baptist,33.861517,-118.003453,6801,Western Ave,Buena Park,CA,"Santa Ana, Anaheim/Orange County CoC",90621,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15052,27,6978,258.44444444444446
HOME & HOPE Homeless Assistance,37.593508,-122.380636,1720,El Camino Real,Burlingame,CA,Daly/San Mateo County CoC,94010,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11581,13,1572,120.92307692307692
Shelter Network,37.577608,-122.35118,1450,Chapin Ave,Burlingame,CA,Daly/San Mateo County CoC,94010,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11688,13,1572,120.92307692307692
Our Lady of Guadalupe Men's Shelter,32.671639,-115.488732,545,Encinas Ave,Calexico,CA,Imperial County CoC,92231,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11342,2,1527,763.5
Calexico Housing Authority Transitional Homeless Housing,32.66967,-115.483589,1006,E 5th St,Calexico,CA,Imperial County CoC,92231,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11343,2,1527,763.5
Family Promise of Santa Clarita Valley,34.417347,-118.457422,18565,Soledad Canyon Rd,Canyon Country,CA,Los Angeles City & County CoC,91351,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11733,63,63706,1011.2063492063492
La Posada de Guadalupe Shelter,33.139221,-117.271876,2476,Impala Dr,Carlsbad,CA,San Diego City and County CoC,92010,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11341,23,7638,332.0869565217391
Jesus Center,39.723489,-121.83024,1297,Park Ave,Chico,CA,"Chico, Paradise/Butte County CoC",95928,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9661,6,1274,212.33333333333334
Torres Community Shelter,39.719892,-121.810383,101,Silver Dollar Way,Chico,CA,"Chico, Paradise/Butte County CoC",95928,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9774,6,1274,212.33333333333334
Esplanade House,39.763915,-121.866425,181,E Shasta Ave,Chico,CA,"Chico, Paradise/Butte County CoC",95973,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20333,6,1274,212.33333333333334
South Bay Community Services,32.63938,-117.084859,430,F St,Chula Vista,CA,San Diego City and County CoC,91910,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11344,23,7638,332.0869565217391
Wallace House,38.807027,-123.016309,126,N Main St,Cloverdale,CA,"Santa Rosa, Petaluma/Sonoma County CoC",95425,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12738,11,2745,249.54545454545453
Jordan's Transitional Shelter,33.908108,-118.205069,1616,E Pine St,Compton,CA,Los Angeles City & County CoC,90221,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9732,63,63706,1011.2063492063492
Saving People of Tomorrow,33.888443,-118.202595,1806,E Alondra Blvd,Compton,CA,Los Angeles City & County CoC,90221,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20412,63,63706,1011.2063492063492
At The Fountain Transitional Living,33.915556,-118.217913,2515,N Santa Fe Ave,Compton,CA,Los Angeles City & County CoC,90222,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13152,63,63706,1011.2063492063492
STAND Domestic Violence,37.9689,-122.049096,1410,Danzig Plz,Concord,CA,Richmond/Contra Costa County CoC,94520,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13127,16,2277,142.3125
Anka Behavioral Health,37.971987,-122.042237,1850,Gateway Blvd,Concord,CA,Richmond/Contra Costa County CoC,94520,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7125,16,2277,142.3125
SIPS,37.975234,-122.037996,1849,Willow Pass Rd,Concord,CA,Richmond/Contra Costa County CoC,94520,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7935,16,2277,142.3125
Central County Interim Housing Program,38.006704,-122.038042,2047,Arnold Industrial Way,Concord,CA,Richmond/Contra Costa County CoC,94520,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7265,16,2277,142.3125
Nierika House,37.99171,-122.047697,1959,Solano Way,Concord,CA,Richmond/Contra Costa County CoC,94520,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7812,16,2277,142.3125
Corona Norco Rescue Mission,33.885007,-117.568743,420,E Harrison St,Corona,CA,Riverside City & County CoC,92879,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9659,12,2884,240.33333333333334
Settlement House,33.87722,-117.574765,507,S Vicentia Ave,Corona,CA,Riverside City & County CoC,92882,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14877,12,2884,240.33333333333334
Daly City Community Service Center,37.706313,-122.462942,50,Hillcrest Dr,Daly City,CA,Daly/San Mateo County CoC,94014,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8031,13,1572,120.92307692307692
St. Anne's Service Intensive Transitional Home,34.001663,-117.810397,1142,S Diamond Bar Blvd,Diamond Bar,CA,Los Angeles City & County CoC,91765,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15536,63,63706,1011.2063492063492
Open Gate Ministries Family Shelter,36.5454,-119.394089,511,N K St,Dinuba,CA,"Visalia/Kings, Tulare Counties CoC",93618,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13770,6,1297,216.16666666666666
Ollie house,33.918566,-118.15548,8017,Cheyenne Ave,Downey,CA,Los Angeles City & County CoC,90242,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14260,63,63706,1011.2063492063492
Union Station Homeless Services,34.139956,-117.96691,1755,E Huntington Dr,Duarte,CA,Los Angeles City & County CoC,91010,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14733,63,63706,1011.2063492063492
WeHOPE Shelter,37.472418,-122.132857,1858,Bay Rd,East Palo Alto,CA,Daly/San Mateo County CoC,94303,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15016,13,1572,120.92307692307692
El Concillo,37.471219,-122.134115,1798,Bay Rd,East Palo Alto,CA,Daly/San Mateo County CoC,94303,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12144,13,1572,120.92307692307692
East County Transitional Living Center,32.804561,-116.924472,1527,E Main St,El Cajon,CA,San Diego City and County CoC,92021,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11776,23,7638,332.0869565217391
Coastside Opportunity Center,37.505165,-122.480179,99,Ave Alhambra,El Granada,CA,Daly/San Mateo County CoC,94018,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7327,13,1572,120.92307692307692
Volunteers of America Homeless Support Services,34.087946,-118.028125,4501,Santa Anita Ave,El Monte,CA,Los Angeles City & County CoC,91731,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11237,63,63706,1011.2063492063492
Operation Dignity,37.829665,-122.279157,3850,San Pablo Ave,Emeryville,CA,"Oakland, Berkeley/Alameda County CoC",94608,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7839,22,8137,369.8636363636364
New Resolve Residential Program Transitional Substance Abuse Program,33.11026,-117.077337,1207,S Escondido Blvd,Escondido,CA,San Diego City and County CoC,92025,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11351,23,7638,332.0869565217391
Inland Service Center,33.125169,-117.091993,550,W Washington Ave,Escondido,CA,San Diego City and County CoC,92025,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11339,23,7638,332.0869565217391
Tikkun Home Temporary Emergency Shelter Women,33.125169,-117.091993,550,W Washington Ave,Escondido,CA,San Diego City and County CoC,92025,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11346,23,7638,332.0869565217391
Escondido Family Services Salvation Army,33.138607,-117.093856,1301,Las Villas Way,Escondido,CA,San Diego City and County CoC,92026,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11345,23,7638,332.0869565217391
Eureka Mission Men's Emergency Overnight Shelter,40.80364,-124.170431,110,2nd St,Eureka,CA,Humboldt County CoC,95501,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14204,4,1701,425.25
Women and Children's Emergency Overnight Shelter,40.803291,-124.170347,107,3rd St,Eureka,CA,Humboldt County CoC,95501,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14205,4,1701,425.25
YSB Our House Shelter,40.798493,-124.164374,904,G St,Eureka,CA,Humboldt County CoC,95501,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11845,4,1701,425.25
"Mission Solano Rescue Mission, Inc",38.233017,-122.065239,360,Beck Ave,Fairfield,CA,Vallejo/Solano County CoC,94533,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12212,3,1162,387.3333333333333
Safe Alternatives To Violent Environments,37.558499,-121.979612,1900,Mowry Ave,Fremont,CA,"Oakland, Berkeley/Alameda County CoC",94538,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8027,22,8137,369.8636363636364
Sunrise Village Emergency Shelter,37.494408,-121.928107,588,Brown Rd,Fremont,CA,"Oakland, Berkeley/Alameda County CoC",94539,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14596,22,8137,369.8636363636364
Evangel Home,36.744787,-119.801964,137,N Yosemite Ave,Fresno,CA,Fresno City & County/Madera County CoC,93701,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10536,7,3641,520.1428571428571
Poverello House,36.724897,-119.788282,412,F St,Fresno,CA,Fresno City & County/Madera County CoC,93706,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11781,7,3641,520.1428571428571
Holy Cross Center,36.724706,-119.789052,421,F St,Fresno,CA,Fresno City & County/Madera County CoC,93706,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20421,7,3641,520.1428571428571
Fresno Rescue Mission,36.723784,-119.786153,263,G St,Fresno,CA,Fresno City & County/Madera County CoC,93706,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10535,7,3641,520.1428571428571
Sanctuary Transitional Shelter,36.742053,-119.780396,1046,T St,Fresno,CA,Fresno City & County/Madera County CoC,93721,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20422,7,3641,520.1428571428571
Decision Home of Fresno,36.753338,-119.804462,805,N Echo Ave,Fresno,CA,Fresno City & County/Madera County CoC,93728,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12946,7,3641,520.1428571428571
Naomi's House,36.725123,-119.789493,445,F St,Fresno,CA,Fresno City & County/Madera County CoC,93706,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10534,7,3641,520.1428571428571
First Christian Church Hot Meal Program,33.872686,-117.923604,115,E Wilshire Ave,Fullerton,CA,"Santa Ana, Anaheim/Orange County CoC",92832,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15265,27,6978,258.44444444444446
Santa Ana Armory Cold Weather Shelter,33.715082,-117.862104,612,E Warner Ave,Santa Ana,CA,"Santa Ana, Anaheim/Orange County CoC",92707,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15271,27,6978,258.44444444444446
La Isla Pacifica Shelter For Women and Children,37.001493,-121.560359,6980,Chestnut St,Gilroy,CA,San Jose/Santa Clara City & County CoC,95020,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7688,22,9605,436.59090909090907
Nancy Painter Home Transitional Housing For Women,34.154423,-118.270099,609,Chester St,Glendale,CA,Glendale CoC,91203,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13320,4,169,42.25
Ascencia,34.12862,-118.26141,1851,Tyburn St,Glendale,CA,Glendale CoC,91204,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13318,4,169,42.25
Salvation Army Glendale Chester Village For Homeless Families,34.136364,-118.258671,320,W Windsor Rd,Glendale,CA,Glendale CoC,91204,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13321,4,169,42.25
Glendale YWCA Domestic Violence Project,34.15165,-118.247355,75,E Lexington Dr,Glendale,CA,Glendale CoC,91206,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13319,4,169,42.25
Hospitality House,39.239586,-121.033394,1262,Sutton Way,Grass Valley,CA,Nevada County CoC,95945,https://www.homelessshelterdirectory.org/shelter/ca_hospitality-house,1,387,387.0
East San Gabriel Valley Coalition For The Homeless,34.010603,-117.979765,1345,Turnbull Canyon Rd,Hacienda Heights,CA,Los Angeles City & County CoC,91745,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11245,63,63706,1011.2063492063492
Kings Gospel Mission Men's Shelter,36.324976,-119.656962,805,W 7th St,Hanford,CA,"Visalia/Kings, Tulare Counties CoC",93230,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15905,6,1297,216.16666666666666
Kings Gospel Mission Women's Shelter,36.324976,-119.657164,807,W 7th St,Hanford,CA,"Visalia/Kings, Tulare Counties CoC",93230,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15906,6,1297,216.16666666666666
Family Emergency Shelter Coalition (FESCO),37.681266,-122.093415,21455,Birch St,Hayward,CA,"Oakland, Berkeley/Alameda County CoC",94541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14592,22,8137,369.8636363636364
FESCO,37.681266,-122.093415,21455,Birch St,Hayward,CA,"Oakland, Berkeley/Alameda County CoC",94541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7445,22,8137,369.8636363636364
South County Homeless Project,37.666195,-122.10372,258,W A St,Hayward,CA,"Oakland, Berkeley/Alameda County CoC",94541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14595,22,8137,369.8636363636364
"Eden I & R, Inc",37.669961,-122.090077,570,B St,Hayward,CA,"Oakland, Berkeley/Alameda County CoC",94541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14591,22,8137,369.8636363636364
Ruby's Place Hayward,37.675086,-122.079975,1180,B St,Hayward,CA,"Oakland, Berkeley/Alameda County CoC",94541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7433,22,8137,369.8636363636364
Family Emergency Shelter Hayward,37.675396,-122.077003,22671,3rd St,Hayward,CA,"Oakland, Berkeley/Alameda County CoC",94541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15007,22,8137,369.8636363636364
Images on the Rise,37.651789,-122.090944,249,W Jackson St,Hayward,CA,"Oakland, Berkeley/Alameda County CoC",94544,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7634,22,8137,369.8636363636364
Salvation Army Emergency Shelter,33.743321,-116.979744,340,S Palm Ave,Hemet,CA,Riverside City & County CoC,92543,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20322,12,2884,240.33333333333334
Valley Restart Shelter,33.758922,-116.970894,200,E Menlo Ave,Hemet,CA,Riverside City & County CoC,92543,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14878,12,2884,240.33333333333334
San Bernardino Salvation Army Corps,34.128748,-117.230221,2626,Pacific St,Highland,CA,San Bernardino City & County CoC,92346,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15705,14,3125,223.21428571428572
My Father's House,36.846137,-121.404347,910,Monterey St,Hollister,CA,"Salinas/Monterey, San Benito Counties CoC",95023,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15231,5,2683,536.6
HOME Resource Center,36.873493,-121.400166,1161,San Felipe Rd,Hollister,CA,"Salinas/Monterey, San Benito Counties CoC",95023,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11908,5,2683,536.6
Colette's Children's Home,33.717927,-117.999593,7372,Prince Dr,Huntington Beach,CA,"Santa Ana, Anaheim/Orange County CoC",92647,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15345,27,6978,258.44444444444446
Build Futures,33.688933,-117.98815,18822,Beach Blvd,Huntington Beach,CA,"Santa Ana, Anaheim/Orange County CoC",92648,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14331,27,6978,258.44444444444446
Off The Streets,33.660677,-117.999193,419,Main St,Huntington Beach,CA,"Santa Ana, Anaheim/Orange County CoC",92648,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15289,27,6978,258.44444444444446
Robyne's Nest,33.659371,-118.000497,412,Olive Ave,Huntington Beach,CA,"Santa Ana, Anaheim/Orange County CoC",92648,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15278,27,6978,258.44444444444446
HPRP Huntington Park,33.981338,-118.216662,2965,E Gage Ave,Huntington Park,CA,Los Angeles City & County CoC,90255,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11228,63,63706,1011.2063492063492
Martha's Village & Kitchen,33.71083,-116.205087,83791,Date Ave,Indio,CA,Riverside City & County CoC,92201,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10601,12,2884,240.33333333333334
Coachella Valley Rescue Mission,33.704501,-116.198145,47470,Van Buren St,Indio,CA,Riverside City & County CoC,92201,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14707,12,2884,240.33333333333334
Human Options,33.696861,-117.764945,5540,Trabuco Rd,Irvine,CA,"Santa Ana, Anaheim/Orange County CoC",92620,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13774,27,6978,258.44444444444446
Good Samaritan Shelter,34.411353,-119.856612,976,Embarcadero Del Mar,Isla Vista,CA,Santa Maria/Santa Barbara County CoC,93117,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20472,9,1897,210.77777777777777
ATCAA,38.352965,-120.834147,10590,State Rte 88,Jackson,CA,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",95642,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8022,1,834,834.0
Laura's House,33.556419,-117.629792,999,Corporate Dr,Ladera Ranch,CA,"Santa Ana, Anaheim/Orange County CoC",92694,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15263,27,6978,258.44444444444446
Alternative Sleeping Location (ASL) Emergency Shelter,33.573152,-117.762544,20652,Laguna Cyn,Laguna Beach,CA,"Santa Ana, Anaheim/Orange County CoC",92651,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20388,27,6978,258.44444444444446
Set Free Ranch Lake Elsinore,33.627741,-117.328879,18569,Grand Ave,Lake Elsinore,CA,Riverside City & County CoC,92530,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20323,12,2884,240.33333333333334
Belinda's Place,32.845752,-116.908139,13221,Idyl Dr,Lakeside,CA,San Diego City and County CoC,92040,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14230,23,7638,332.0869565217391
HPRP Lancaster,34.698106,-118.144759,44933,Fern Ave,Lancaster,CA,Los Angeles City & County CoC,93534,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11218,63,63706,1011.2063492063492
Guiding Light Awareness,34.703074,-118.154116,1321,W Ivesbrook St,Lancaster,CA,Los Angeles City & County CoC,93534,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15501,63,63706,1011.2063492063492
Antelope Valley Access Center,34.702937,-118.137311,45134,Sierra Hwy,Lancaster,CA,Los Angeles City & County CoC,93534,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11242,63,63706,1011.2063492063492
Valley Oasis,34.6724,-118.127542,43434,E Sahuayo St,Lancaster,CA,Los Angeles City & County CoC,93535,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15854,63,63706,1011.2063492063492
High Desert MACC,34.702987,-118.236523,45150,60th St W,Lancaster,CA,Los Angeles City & County CoC,93536,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20430,63,63706,1011.2063492063492
Tri,37.675726,-121.753084,3663,Pacific Ave,Livermore,CA,"Oakland, Berkeley/Alameda County CoC",94550,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8161,22,8137,369.8636363636364
Shepherd's Gate,37.693112,-121.778976,1660,Portola Ave,Livermore,CA,"Oakland, Berkeley/Alameda County CoC",94551,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8040,22,8137,369.8636363636364
God's Love Outreach Ministries,37.687628,-121.785777,851,Rincon Ave,Livermore,CA,"Oakland, Berkeley/Alameda County CoC",94551,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10300,22,8137,369.8636363636364
Bridgehouse Homeless Shelter,34.645254,-120.427756,2025,Sweeney Rd,Lompoc,CA,Santa Maria/Santa Barbara County CoC,93436,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7212,9,1897,210.77777777777777
New Image Emergency Shelter,33.767169,-118.187287,401,E Ocean Blvd,Long Beach,CA,Long Beach CoC,90802,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10357,5,2034,406.8
Long Beach Rescue Mission Services For Women and Children Lydia House,33.784473,-118.1933,1430,Pacific Ave,Long Beach,CA,Long Beach CoC,90813,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14672,5,2034,406.8
Long Beach Rescue Mission Samaritan House and Services for Men,33.783389,-118.194128,1335,Pacific Ave,Long Beach,CA,Long Beach CoC,90813,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10485,5,2034,406.8
The Good Seed,33.781842,-118.192176,1230,Pine Ave,Long Beach,CA,Long Beach CoC,90813,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15872,5,2034,406.8
